Last name,First name,Full name,Countries,born,died
Tseitlin,Mikhail,Mikhail Tseitlin,"Belarus,Russia",1947,
Gupta,Abhijeet,Abhijeet Gupta,India,1989,
Eljanov,Pavel,Pavel Eljanov,Ukraine,1983,
Kolev,Atanas,Atanas Kolev,Bulgaria,1967,
Havasi,Kornél,Kornél Havasi,Hungary,1892,1945
Blum,Oscar,Oscar Blum,"Lithuania,France",<1910,?
Dokhoian,Yury,Yury Dokhoian,Russia,1964,
Wells,Peter,Peter Wells,England,1965,
Moiseenko,Alexander,Alexander Moiseenko,Ukraine,1980,
Ivanišević,Ivan,Ivan Ivanišević,Serbia,1977,
Griffith,Richard,Richard Griffith,England,1872,1955
Hromádka,Karel,Karel Hromádka,"Bohemia,Czechoslovakia",1887,1956
Tomović,Vasilije,Vasilije Tomović,Montenegro,1906,?
Dreibergs,Leonids,Leonids Dreibergs,"Latvia,US",1908,1969
Qin,Kanying,Qin Kanying,China,1974,
Friedemann,Gunnar,Gunnar Friedemann,Estonia,1909,1943
Chajes,Oscar,Oscar Chajes,"Ukraine,Austria,US",1873,1928
Uedemann,Louis,Louis Uedemann,US,1854,1912
Najdorf,Miguel,Miguel Najdorf,"Poland,Argentina",1910,1997
Akobian,Varuzhan,Varuzhan Akobian,"Armenia,US",1983,
Chekhov,Valery,Valery Chekhov,Russia,1955,
Schmitt,Ludwig,Ludwig Schmitt,Germany,<1910,
Laurine,Leho,Leho Laurine,"Estonia,Sweden",1904,1998
Sournin,Vladimir,Vladimir Sournin,"Russia,US",1875,1942
Jones,Gawain,Gawain Jones,England,1987,
Levin,Naum,Naum Levin,"Ukraine,Australia",1933,
King,Daniel,Daniel King,England,1963,
Blümich,Max,Max Blümich,Germany,1886,1942
Rubinstein,Emanuel,Emanuel Rubinstein,Poland,1897,?
Berczes,David,David Berczes,Hungary,1990,
Lasa,Baron Tassilo von Heydebrand und der,Baron Tassilo von Heydebrand und der Lasa,Prussia/Germany,1818,1899
Sloan,Sam,Sam Sloan,United States,1944,
Lasker,Emanuel,Emanuel Lasker,"Germany,Russia,US",1868,1941
Harandi,Khosro,Khosro Harandi,Iran,1950,
Dyckhoff,Eduard,Eduard Dyckhoff,Germany,1880,1949
Winz,Victor,Victor Winz,"Germany,Israel,Argentina",1906,
Matveeva,Svetlana,Svetlana Matveeva,Russia,1969,
Nilsson,Allan,Allan Nilsson,Sweden,1899,1949
Bartel,Mateusz,Mateusz Bartel,Poland,1985,
Hosmer,Henry,Henry Hosmer,US,1837,1892
Taussig,Lev,Lev Taussig,Czechoslovakia,1880,?
Chernin,Alexander,Alexander Chernin,"Ukraine,Hungary",1960,
Conquest,Stuart,Stuart Conquest,England,1967,
Karpov,Anatoly,Anatoly Karpov,Russia,1951,
Schallopp,Emil,Emil Schallopp,Germany,1843,1919
Vranesic,Zvonko,Zvonko Vranesic,"Croatia,Canada",1938,
Kupreichik,Viktor,Viktor Kupreichik,Belarus,1949,2017
Miladinović,Igor,Igor Miladinović,Serbia,1974,
Kotov,Alexander,Alexander Kotov,Russia,1913,1981
Jagielski,Jerzy,Jerzy Jagielski,"Poland,Germany",1897,1955
Regedziński,Teodor,Teodor Regedziński,Poland,1894,1954
Markowski,Tomasz,Tomasz Markowski,Poland,1975,
Falkbeer,Ernst,Ernst Falkbeer,Austria-Hungary,1819,1885
Amelung,Friedrich,Friedrich Amelung,"Estonia,Latvia",1842,1909
Aloni,Yoel,Yoel Aloni,Israel,1937,
Prudnikova,Svetlana,Svetlana Prudnikova,Russia,1967,
Gossip,George H. D.,George H. D. Gossip,"US,England",1841,1907
Lahno,Kateryna,Kateryna Lahno,Ukraine,1989,
Solovtsov,Alexander,Alexander Solovtsov,Russia,1847,1923
Bētiņš,Kārlis,Kārlis Bētiņš,Latvia,1867,1943
Arnason,Jon,Jon Arnason,Iceland,1960,
Zíta,František,František Zíta,Czechoslovakia,1909,1977
Wolff,Balduin,Balduin Wolff,Germany,1819,1907
Swiderski,Rudolf,Rudolf Swiderski,Germany,1878,1909
Tautvaišas,Povilas,Povilas Tautvaišas,"Lithuania,US",1916,1980
Nei,Iivo,Iivo Nei,Estonia,1931,
Duz-Khotimirsky,Fyodor,Fyodor Duz-Khotimirsky,Ukraine,1879,1965
Gerlecka,Regina,Regina Gerlecka,Poland,1913,1983
Darga,Klaus,Klaus Darga,Germany,1934,
Vygodchikov,Konstantin,Konstantin Vygodchikov,"Belarus,Russia",1892,1941
Ardid,Ramón Rey,Ramón Rey Ardid,Spain,1903,1988
Reinderman,Dimitri,Dimitri Reinderman,Netherlands,1972,
Neikirch,Oleg,Oleg Neikirch,"Georgia,Bulgaria",1914,1985
Sturua,Zurab,Zurab Sturua,Georgia,1964,
Birnboim,Nathan,Nathan Birnboim,Israel,1950,
Riemann,Fritz,Fritz Riemann,Germany,1859,1932
Bruzón,Lázaro,Lázaro Bruzón,Cuba,1982,
From,Martin Severin,Martin Severin From,Denmark,1828,1895
Fahrni,Hans,Hans Fahrni,"Bohemia,Switzerland",1874,1939
Ahues,Carl,Carl Ahues,Germany,1883,1968
Iuldachev,Saidali,Saidali Iuldachev,Uzbekistan,1968,
Grob,Henri,Henri Grob,Switzerland,1904,1974
Bleijkmans,Dirk,Dirk Bleijkmans,"Netherlands,Indonesia",1875,?
Ipatov,Alexander,Alexander Ipatov,"Ukraine,Spain,Turkey",1993,
Alburt,Lev,Lev Alburt,"Russia,US",1945,
Corke,Anya,Anya Corke,"England,Hong Kong",1990,
Rubanraut,Serge,Serge Rubanraut,"China,Australia",1948,2008
Rotlewi,Gersz,Gersz Rotlewi,Poland,1889,1920
Dyner,Boruch Israel,Boruch Israel Dyner,"Poland,Belgium,Israel",1903,1979
Ronde,Chris de,Chris de Ronde,"Netherlands,Argentina",1912,1996
Hebden,Mark,Mark Hebden,England,1958,
Palmer,Ryan,Ryan Palmer,Jamaica,1974,
Marshall,Frank,Frank Marshall,US,1877,1944
Foguelman,Alberto,Alberto Foguelman,Argentina,1923,2013
Nielsen,Torkil,Torkil Nielsen,Faroe Islands,1964,
Mieses,Samuel,Samuel Mieses,Germany,1841,1884
Schmaltz,Roland,Roland Schmaltz,Germany,1974,
Volkov,Sergey,Sergey Volkov,Russia,1974,
Guimard,Carlos,Carlos Guimard,Argentina,1913,1998
Mendoza,Luciana Morales,Luciana Morales Mendoza,Peru,1987,
Huang,Qian,Huang Qian,China,1986,
Pelletier,Yannick,Yannick Pelletier,Switzerland,1976,
Ivanović,Božidar,Božidar Ivanović,Montenegro,1949,
Kasparov,Garry,Garry Kasparov,"Azerbaijan,Russia",1963,
Yudasin,Leonid,Leonid Yudasin,"Russia,Israel",1959,
Horowitz,Israel,Israel Horowitz,US,1907,1973
Marotti,Davide,Davide Marotti,Italy,1881,1940
Daniuszewski,Dawid,Dawid Daniuszewski,Poland,1885,1944
Gruenfeld,Yehuda,Yehuda Gruenfeld,"Poland,Israel",1956,
Danielsson,Gösta,Gösta Danielsson,Sweden,1912,1978
Soćko,Bartosz,Bartosz Soćko,Poland,1978,
Horwitz,Bernhard,Bernhard Horwitz,"Germany,England",1807,1885
Vajda,Árpád,Árpád Vajda,Hungary,1896,1967
Carrasco,Berna,Berna Carrasco,Chile,1914,2013
Schulten,John William,John William Schulten,US,1821,1875
Enoch,David,David Enoch,Israel,1901,1949
Svetushkin,Dmitry,Dmitry Svetushkin,Moldova,1980,
Bagirov,Vladimir,Vladimir Bagirov,"USSR,Latvia",1936,2000
Mkrtchian,Lilit,Lilit Mkrtchian,Armenia,1982,
Tuhan-Baranowski,Leon,Leon Tuhan-Baranowski,"Poland,Germany",1907,1954
Milner-Barry,Stuart,Stuart Milner-Barry,England,1906,1995
Rabinovich,Abram,Abram Rabinovich,"Lithuania,Russia",1878,1943
Tong,Yuanming,Tong Yuanming,China,1972,
Fontein,George Salto,George Salto Fontein,Netherlands,1890,1963
Schwarz,Jacques,Jacques Schwarz,Austria,1856,1921
Williams,Elijah,Elijah Williams,England,1810,1854
Bykova,Elisabeth,Elisabeth Bykova,Russia,1913,1989
Vukić,Milan,Milan Vukić,"Serbia,Bosnia",1942,
Benko,Pal,Pal Benko,"France,Hungary,US",1928,
Stean,Michael,Michael Stean,England,1953,
Murey,Jacob,Jacob Murey,"Russia,Israel",1941,
Rudolf,Anna,Anna Rudolf,Hungary,1987,
Tseshkovsky,Vitaly,Vitaly Tseshkovsky,Russia,1944,2011
Platonov,Igor,Igor Platonov,Ukraine,1934,1995
Kermeur,Legall de,Legall de Kermeur,France,1702,1792
Narayanan,Srinath,Srinath Narayanan,India,1994,
Cicak,Slavko,Slavko Cicak,"Montenegro,Sweden",1969,
Chamier,Edward,Edward Chamier,"England,France",1840,1892
Puc,Stojan,Stojan Puc,Slovenia,1921,2004
Bu,Xiangzhi,Bu Xiangzhi,China,1985,
Rogers,Ian,Ian Rogers,Australia,1960,
Rossetto,Héctor,Héctor Rossetto,Argentina,1922,2009
Radjabov,Teimour,Teimour Radjabov,Azerbaijan,1987,
Morshed,Niaz,Niaz Morshed,Bangladesh,1966,
Wu,Shaobin,Wu Shaobin,Singapore,1969,
Lasker,Berthold,Berthold Lasker,Germany,1860,1928
Riegler,Alessandra,Alessandra Riegler,Italy,1961,
Šajtar,Jaroslav,Jaroslav Šajtar,Czechoslovakia,1921,2003
Ólafsson,Friðrik,Friðrik Ólafsson,Iceland,1935,
Füster,Géza,Géza Füster,"Hungary,Canada",1910,1990
Thiruchelvam,Murugan,Murugan Thiruchelvam,England,1988,
Atalik,Ekaterina,Ekaterina Atalik,"Russia,Turkey",1982,
Clemenz,Hermann,Hermann Clemenz,Estonia,1846,1908
Nielsen,Peter Heine,Peter Heine Nielsen,Denmark,1973,
Baginskaite,Camilla,Camilla Baginskaite,"Soviet Union,Lithuania,US",1967,
Pogrebyssky,Iosif,Iosif Pogrebyssky,Ukraine,1906,1971
Heidenfeld,Wolfgang,Wolfgang Heidenfeld,"Germany,South Africa,Ireland",1911,1981
Knorre,Viktor,Viktor Knorre,Russia,1840,1919
Mikėnas,Vladas,Vladas Mikėnas,"Estonia,Lithuania",1910,1992
Bannik,Anatoly,Anatoly Bannik,Ukraine,1921,2013
Pachman,Ludek,Ludek Pachman,"Czechoslovakia,Germany",1924,2003
Valvo,Michael,Michael Valvo,US,1942,2004
Pavasovič,Duško,Duško Pavasovič,"Croatia,Slovenia",1975,
Shariyazdanov,Andrey,Andrey Shariyazdanov,Russia,1976,
Sergeyev,Aleksandr,Aleksandr Sergeyev,Russia,1897,1970
Réti,Richard,Richard Réti,"Austria-Hungary,Czechoslovakia",1889,1929
Heinicke,Herbert,Herbert Heinicke,"Brazil,Germany",1905,1988
Aronian,Levon,Levon Aronian,Armenia,1982,
Chang,Tung Lo,Chang Tung Lo,China,<1960,
Kuligowski,Adam,Adam Kuligowski,Poland,1955,
Parligras,Mircea,Mircea Parligras,Romania,1980,
Löwenborg,Otto,Otto Löwenborg,Sweden,1888,1969
Levitina,Irina,Irina Levitina,"Russia,US",1954,
Glass,Eduard,Eduard Glass,Austria,1902,>1980
Levin,Alexander,Alexander Levin,Russia,1871,1929
Rajlich,Iweta,Iweta Rajlich,Poland,1981,
Stolzenberg,Leon,Leon Stolzenberg,"Poland,US",1895,1974
Schmidt,Wlodzimierz,Wlodzimierz Schmidt,Poland,1943,
Varnusz,Egon,Egon Varnusz,Hungary,1933,2008
Tukmakov,Vladimir,Vladimir Tukmakov,Ukraine,1946,
Ozols,Karlis,Karlis Ozols,"Latvia,Australia",1912,2001
Euwe,Max,Max Euwe,Netherlands,1901,1981
Gurevich,Mikhail,Mikhail Gurevich,"Ukraine,Belgium,Turkey",1959,
Winawer,Szymon,Szymon Winawer,Poland,1838,1920
Rosenthal,Samuel,Samuel Rosenthal,"Poland,France",1837,1902
Kibbermann,Feliks,Feliks Kibbermann,Estonia,1902,1993
Lin,Weiguo,Lin Weiguo,China,1970,
Ricardi,Pablo,Pablo Ricardi,Argentina,1962,
Slobodjan,Roman,Roman Slobodjan,Germany,1975,
Hanstein,Wilhelm,Wilhelm Hanstein,Germany,1811,1850
Planinc,Albin,Albin Planinc,Slovenia,1944,2008
Gretarsson,Helgi,Helgi Gretarsson,Iceland,1977,
Zhang,Xiaowen,Zhang Xiaowen,China,1989,
Gipslis,Aivars,Aivars Gipslis,Latvia,1937,2000
Mitoń,Kamil,Kamil Mitoń,Poland,1984,
Schlage,Willi,Willi Schlage,Germany,1888,1940
Velikov,Petar,Petar Velikov,Bulgaria,1951,
Illa,Rolando,Rolando Illa,"US,Cuba,Argentina",1880,1937
Avrukh,Boris,Boris Avrukh,Israel,1978,
Onischuk,Alexander,Alexander Onischuk,"Ukraine,US",1975,
Carlsson,Pontus,Pontus Carlsson,Sweden,1982,
McDonald,Neil,Neil McDonald,England,1967,
Psakhis,Lev,Lev Psakhis,"Russia,Israel",1958,
Wagner,Heinrich,Heinrich Wagner,Germany,1888,1959
Samarian,Sergiu,Sergiu Samarian,"Romania,Germany",1923,1991
Vitiugov,Nikita,Nikita Vitiugov,Russia,1987,
Wolf,Siegfried Reginald,Siegfried Reginald Wolf,"Austria,Israel",1867,1951
Damjanović,Mato,Mato Damjanović,Croatia,1927,2011
Neverov,Valeriy,Valeriy Neverov,Ukraine,1962,
Mackenzie,George Henry,George Henry Mackenzie,"Scotland,US",1837,1891
Robson,Ray,Ray Robson,US,1994,
Raizman,Maurice,Maurice Raizman,"Moldova/Russia,France",1905,1974
Treybal,Karel,Karel Treybal,Czechoslovakia,1885,1941
Wu,Wenjin,Wu Wenjin,China,1976,
Zimmermann,Otto,Otto Zimmermann,Switzerland,1892,1979
Sunnucks,Anne,Anne Sunnucks,England,1927,
Johannessen,Leif Erlend,Leif Erlend Johannessen,Norway,1980,
Shamkovich,Leonid,Leonid Shamkovich,"Russia,Israel,US",1923,2005
Minić,Dragoljub,Dragoljub Minić,Montenegro,1936,2005
Tkachiev,Vladislav,Vladislav Tkachiev,"Russia,Kazakhstan,France",1973,
Krejcik,Josef,Josef Krejcik,Austria,1885,1957
Hulak,Krunoslav,Krunoslav Hulak,Croatia,1951,
Rittner,Horst,Horst Rittner,Germany,1930,
Motylev,Alexander,Alexander Motylev,Russia,1979,
Bergkvist,Nils,Nils Bergkvist,Sweden,1900,?
Tikkanen,Hans,Hans Tikkanen,Sweden,1985,
Moritz,Bruno,Bruno Moritz,"Germany,Ecuador",1900,?
Romih,Max,Max Romih,"Croatia,Italy",1893,1979
Afromeev,Vladimir,Vladimir Afromeev,Russia,1954,
Znosko-Borovsky,Eugene,Eugene Znosko-Borovsky,"Russia,France",1884,1954
Petrovs,Vladimirs,Vladimirs Petrovs,Latvia,1907,1943
Melkumyan,Hrant,Hrant Melkumyan,Armenia,1989,
Teterev,Vitaly,Vitaly Teterev,Belarus,1983,
Czerniak,Moshe,Moshe Czerniak,"Poland,Israel",1910,1984
Smyslov,Vasily,Vasily Smyslov,Russia,1921,2010
Umansky,Mikhail,Mikhail Umansky,Russia,1952,
Hönlinger,Baldur,Baldur Hönlinger,"Austria,Germany",1905,1990
Mar,Karmen,Karmen Mar,Slovenia,1987,
López de Segura,Ruy,Ruy López de Segura,Spain,c. 1530,c. 1580
Kluger,Gyula,Gyula Kluger,Hungary,1914,1994
Vliet,Louis van,Louis van Vliet,Netherlands,1870,1932
Rodshtein,Maxim,Maxim Rodshtein,Israel,1989,
Fishbein,Alex,Alex Fishbein,US,1968,
Morphy,Paul,Paul Morphy,US,1837,1884
Beskow,Katarina,Katarina Beskow,Sweden,1867,1939
Zhou,Jianchao,Zhou Jianchao,China,1988,
Liêm,Lê Quang,Lê Quang Liêm,Vietnam,1991,
Boden,Samuel,Samuel Boden,England,1826,1882
Turner,Abe,Abe Turner,US,1924,1962
Jenni,Florian,Florian Jenni,Switzerland,1980,
Fox,Albert,Albert Fox,US,1881,1964
Qi,Jingxuan,Qi Jingxuan,China,1947,
Volpert,Larisa,Larisa Volpert,Russia,1926,2017
Zawadzka,Jolanta,Jolanta Zawadzka,Poland,1987,
Antze,Oskar,Oskar Antze,Germany,1878,
Cebalo,Mišo,Mišo Cebalo,Croatia,1945,
Fedoseev,Vladimir,Vladimir Fedoseev,Russia,1995,
Karlovich,Anastasiya,Anastasiya Karlovich,Ukraine,1982,
Gottschall,Hermann von,Hermann von Gottschall,Germany,1862,1933
Dake,Arthur,Arthur Dake,US,1910,2000
Grimm,Vincent,Vincent Grimm,"Austria,Hungary",1800,1872
Viner,William Samuel,William Samuel Viner,Australia,1881,1933
Klovāns,Jānis,Jānis Klovāns,Latvia,1935,2010
Dreyer,Kurt,Kurt Dreyer,"Germany,South Africa",1909,1981
Fajarowicz,Sammi,Sammi Fajarowicz,Germany,1908,1940
Bondarevsky,Igor,Igor Bondarevsky,Russia,1913,1979
Giersing,Johannes,Johannes Giersing,Denmark,1872,1954
Gleizerov,Evgeny,Evgeny Gleizerov,Russia,1963,
Robatsch,Karl,Karl Robatsch,Austria,1928,2000
Lerner,Konstantin,Konstantin Lerner,Ukraine,1950,2011
Fazekas,Stefan,Stefan Fazekas,"Hungary,Czechoslovakia,England",1898,1967
Sacconi,Antonio,Antonio Sacconi,Italy,1895,1968
Bielicki,Carlos,Carlos Bielicki,Argentina,1940,
Warwick,Cathy,Cathy Warwick,England,1968,
Ķeņģis,Edvīns,Edvīns Ķeņģis,Latvia,1959,
Germann,Theodor,Theodor Germann,Latvia,1879,1935
Post,Ehrhardt,Ehrhardt Post,Germany,1881,1947
Kamsky,Gata,Gata Kamsky,"Russia,US",1974,
Zubarev,Alexander,Alexander Zubarev,Ukraine,1979,
Hellsten,Johan,Johan Hellsten,Sweden,1975,
Kotrč,Jan,Jan Kotrč,Czechoslovakia,1862,1943
John,Walter,Walter John,"Poland,Germany",1879,1940
Byrne,Donald,Donald Byrne,US,1930,1976
Korotylev,Alexey,Alexey Korotylev,Russia,1977,
Sarratt,Jacob,Jacob Sarratt,England,1772,1819
Dunkelblum,Arthur,Arthur Dunkelblum,"Poland,Belgium",1906,1979
Leonhardt,Paul Saladin,Paul Saladin Leonhardt,"Poland,Germany",1877,1934
Tarrasch,Siegbert,Siegbert Tarrasch,Germany,1862,1934
Adewumi,Tanitoluwa,Tanitoluwa Adewumi,"Nigeria,US",2010,
Trang,Hoang Thanh,Hoang Thanh Trang,"Vietnam,Hungary",1980,
Amos,Bruce,Bruce Amos,Canada,1946,
Davies,Nigel,Nigel Davies,England,1960,
Gromer,Aristide,Aristide Gromer,France,1909,
Alexandre,Aaron,Aaron Alexandre,"Germany,France,England",1765,1850
Blehm,Paweł,Paweł Blehm,Poland,1980,
Keller,Rudolf,Rudolf Keller,Germany,1917,1993
Mayet,Carl,Carl Mayet,Germany,1810,1868
Alekseev,Evgeny,Evgeny Alekseev,Russia,1985,
Belavenets,Liudmila,Liudmila Belavenets,Russia,1940,
Ragger,Markus,Markus Ragger,Austria,1988,
Zinkl,Adolf,Adolf Zinkl,"Bohemia,Austria",1871,1944
Kharlov,Andrei,Andrei Kharlov,Russia,1968,2014
Lipke,Paul,Paul Lipke,Germany,1870,1955
Bacrot,Étienne,Étienne Bacrot,France,1983,
Lupi,Francisco,Francisco Lupi,Portugal,before 1910,1954
Laylo,Darwin,Darwin Laylo,Philippines,1980,
Hanneken,Hermann von,Hermann von Hanneken,Germany,1810,1886
Naegeli,Oskar,Oskar Naegeli,Switzerland,1885,1959
Freymann,Sergey von,Sergey von Freymann,"Russia,Uzbekistan",1882,1946
Brynell,Stellan,Stellan Brynell,Sweden,1962,
Agrest,Evgeny,Evgeny Agrest,"Belarus,Sweden",1966,
Flatow,Alfred,Alfred Flatow,"Germany,Australia",1937,
Vistaneckis,Isakas,Isakas Vistaneckis,"Lithuania,Israel",1910,2000
Morozevich,Alexander,Alexander Morozevich,Russia,1977,
Wade,Robert,Robert Wade,"New Zealand,England",1921,2008
Mont,Julius du,Julius du Mont,"France,England",1881,1956
Rashkovsky,Nukhim,Nukhim Rashkovsky,Russia,1946,
Howell,James,James Howell,England,1967,
Todorcevic,Miodrag,Miodrag Todorcevic,"Serbia,France",1940,
Yin,Hao,Yin Hao,China,1979,
Larsen,Bent,Bent Larsen,Denmark,1935,2010
Wagner,Alexander,Alexander Wagner,Poland,1868,1942
Haussernot,Cécile,Cécile Haussernot,France,1998,
Stamm,Wilhelm von,Wilhelm von Stamm,Latvia,?,1905
Cortlever,Nicolaas,Nicolaas Cortlever,Netherlands,1915,1995
Greenfeld,Alon,Alon Greenfeld,"US,Israel",1964,
Rublevsky,Sergei,Sergei Rublevsky,Russia,1974,
Zúpide,Celso Golmayo,Celso Golmayo Zúpide,"Spain,Cuba",1820,1898
Mongredien,Augustus,Augustus Mongredien,England,1807,1888
Timman,Jan,Jan Timman,Netherlands,1951,
Hammer,Jon Ludvig,Jon Ludvig Hammer,Norway,1990,
Evans,William Davies,William Davies Evans,Wales,1790,1872
Nowarra,Heinz,Heinz Nowarra,Germany,1897,c. 1945
Deschapelles,Alexandre,Alexandre Deschapelles,France,1780,1847
Tartakower,Savielly,Savielly Tartakower,"Austria/Poland,France",1887,1956
Kaufmann,Arthur,Arthur Kaufmann,"Romania,Austria",1872,1940
Banikas,Hristos,Hristos Banikas,Greece,1978,
Hort,Vlastimil,Vlastimil Hort,"Czechoslovakia,Germany",1944,
Schmid,Lothar,Lothar Schmid,Germany,1928,2013
Alekhine,Alexei,Alexei Alekhine,Russia,1888,1939
McDonnell,Alexander,Alexander McDonnell,Ireland,1798,1835
Fischer,Robert James,Robert James Fischer,"US,Iceland",1943,2008
Breyer,Gyula,Gyula Breyer,Hungary,1893,1921
Rohde,Michael,Michael Rohde,US,1959,
Kagan,Shimon,Shimon Kagan,Israel,1942,
Reinfeld,Fred,Fred Reinfeld,US,1910,1964
Piazzini,Luis,Luis Piazzini,Argentina,1905,1980
Houska,Jovanka,Jovanka Houska,England,1980,
Bortnyk,Olexandr,Olexandr Bortnyk,Ukraine,1996,
Vescovi,Giovanni,Giovanni Vescovi,Brazil,1978,
Zinner,Emil,Emil Zinner,Czechoslovakia,1909,1942
David,Alberto,Alberto David,Luxembourg,1970,
Kling,Josef,Josef Kling,Germany,1811,1876
Renaud,Georges,Georges Renaud,France,1893,1975
Polgar,Zsofia,Zsofia Polgar,"Hungary,Israel",1974,
Botterill,George,George Botterill,"England,Wales",1949,
Marache,Napoleon,Napoleon Marache,"France,US",1818,1875
Gelashvili,Tamaz,Tamaz Gelashvili,Georgia,1978,
Dworakowska,Joanna,Joanna Dworakowska,Poland,1978,
